Year,GDP (current US$)
1961,39232435784
1962,42161481858
1963,48421923459
1964,56480289941
1965,59554854576
1966,45865462034
1967,50134942204
1968,53085455871
1969,58447995017
1970,62422483055
1971,67350988021
1972,71463193831
1973,85515269585
1974,99525899116
1975,98472796457
1976,1.02717E+11
1977,1.21487E+11
1978,1.373E+11
1979,1.52992E+11
1980,1.86325E+11
1981,1.93491E+11
1982,2.00715E+11
1983,2.18262E+11
1984,2.12158E+11
1985,2.32512E+11
1986,2.48986E+11
1987,2.79034E+11
1988,2.96589E+11
1989,2.96042E+11
1990,3.20979E+11
1991,2.70105E+11
1992,2.88208E+11
1993,2.79296E+11
1994,3.27276E+11
1995,3.60282E+11
1996,3.92897E+11
1997,4.15868E+11
1998,4.21351E+11
1999,4.5882E+11
2000,4.68395E+11
2001,4.85441E+11
2002,5.14938E+11
2003,6.07699E+11
2004,7.09149E+11
2005,8.20382E+11
2006,9.4026E+11
2007,1.21674E+12
2008,1.1989E+12
2009,1.34189E+12
2010,1.67562E+12
2011,1.82305E+12
2012,1.82764E+12
2013,1.85672E+12
2014,2.03913E+12
2015,2.10359E+12
2016,2.2948E+12
2017,2.65147E+12
2018,2.70293E+12
2019,2.83155E+12
2020,2.66769E+12
2021,3.1734E+12
